name,category,subCategory,launched,deadline,result,backers,country,pledged,goal
The FlatPak: A backpack design and unique lunch tray feature,Fashion,Fashion,2017/07/09,2017-08-08,canceled,0,USA,0,40000
Custom Graffiti Art.,Painting,Art,2017/07/09,2017-08-08,successful,4,USA,201,40
An Eagle's Nest- The story of Dedrick Warmack,Nonfiction,Publishing,2017/07/09,2017-08-08,failed,1,USA,100,7500
MUFChicago OT Hitman T-Shirt,Apparel,Fashion,2017/07/09,2017-08-08,failed,0,USA,0,1500
Chroma Color App Upgrade Funding!,Mobile Games,Games,2017/07/09,2017-08-08,failed,0,USA,0,2300
Perdition's Mouth: Traitor Guard EXPANSION,Tabletop Games,Games,2017/07/09,2017-08-08,successful,610,USA,40476,8000
Boldly Established Empowering Our Youth to Lead,Academic,Publishing,2017/07/09,2017-08-08,failed,0,USA,0,15000
TOO LONG AT THE FAIR,Shorts,Film & Video,2017/07/09,2017-08-08,successful,120,USA,6390,6000
Safari Central - Rewild your World,Mobile Games,Games,2017/07/09,2017-08-08,successful,336,USA,82264,80000
In The Dark,Video Games,Games,2017/07/09,2017-08-08,canceled,13,USA,291,1000
Love & Growth Through The Eyes of the Universe: Poetry Book,Poetry,Publishing,2017/07/09,2017-08-08,failed,5,USA,133,400
Yeah Pluto Apparel,Apparel,Fashion,2017/07/09,2017-08-08,failed,2,USA,20,20000
Latin Jazz Jorge Luis Santos,Jazz,Music,2017/07/09,2017-08-08,failed,13,USA,500,5000
"Rosie, A Detroit Herstory Book",Children's Books,Publishing,2017/07/09,2017-08-08,successful,147,USA,10238,3750
Streetkids A New Musical Development Fund,Musical,Theater,2017/07/09,2017-08-08,failed,4,USA,610,50000
Gods of TYN HARRA,Tabletop Games,Games,2017/07/09,2017-08-08,canceled,23,USA,817,6000
Multitude Game Set,Tabletop Games,Games,2017/07/09,2017-08-08,canceled,4,USA,132,15000
PSY Gangnam Style Neo Pop Art: Limited Edition Campaign,Painting,Art,2017/07/09,2017-08-08,failed,0,USA,0,5795
Dreamac Inc. Launch,Fashion,Fashion,2017/07/09,2017-08-08,failed,68,USA,2256,5000
Straw Man - Short Film,Shorts,Film & Video,2017/07/09,2017-08-07,successful,58,USA,2911,2800
OPERATOR WEB SERIES,Animation,Film & Video,2017/07/09,2017-08-07,successful,169,USA,15012,14840
Sttarwish Dubai,Apparel,Fashion,2017/07/09,2017-08-07,failed,1,USA,150,75000
The Story of The Three Little Hermit Crabs,Children's Books,Publishing,2017/07/09,2017-08-04,successful,19,USA,2028,2000
The Berwyn Project EP by The MC Type & thewoods,Hip-Hop,Music,2017/07/09,2017-08-02,successful,73,USA,2520.5,2500
Hoaxed,Film & Video,Film & Video,2017/07/09,2017-08-01,successful,1702,USA,163007.38,100000
Kickstarter Gold: Hello Mr. Magazine Residency,Print,Journalism,2017/07/09,2017-07-29,successful,291,USA,17180,12000
"Celebrities at the Peppermint West Lounge in Hollywood, Ca.",Photography,Photography,2017/07/09,2017-07-29,successful,1,USA,300,300
Lesbian Zombies from Outer Space: The Comic Movie,Graphic Novels,Comics,2017/07/09,2017-07-29,successful,75,USA,2148,1500
Radiant Northwest First Year!,Video Games,Games,2017/07/09,2017-07-28,successful,13,USA,679,400
Tim McGraw Painting by Erik the Artist Merchandise License,Art,Art,2017/07/09,2017-07-18,failed,0,USA,0,50000
Little ol'me / A music producer without Artist's,Music,Music,2017/07/08,2017-09-06,failed,0,USA,0,20000
Writing Wall,Web,Technology,2017/07/08,2017-09-06,failed,1,USA,10,30000
Audiobook for Flesh of the Blood Book 1,Publishing,Publishing,2017/07/08,2017-09-06,failed,4,USA,207,3000
B.Sane Snow Bikes,Product Design,Design,2017/07/08,2017-09-06,failed,1,USA,1,25000
DE1 Audio Cooler! (Solar Power and Waterproof) GO GREEN!,Product Design,Design,2017/07/08,2017-09-06,failed,2,USA,301,50000
Wood + Laser + Art = Fun Education,Woodworking,Crafts,2017/07/08,2017-09-01,failed,15,USA,931,7000
GrenAid™ DMX Test Equipment,Gadgets,Technology,2017/07/08,2017-08-31,failed,7,USA,2010,40000
The Abalone Necklace Chapter 1 Print and eBook,Webcomics,Comics,2017/07/08,2017-08-24,failed,18,USA,534,3500
Acid of the Godz,Comic Books,Comics,2017/07/08,2017-08-23,failed,129,USA,5146,25000
The Honu Who Was Afraid of the Ocean,Children's Books,Publishing,2017/07/08,2017-08-22,successful,49,USA,2585,2500
Root Pods,Product Design,Design,2017/07/08,2017-08-22,failed,81,USA,2603.06,10000
THICKER THAN BLOOD: A Large Format Ploog & Bisley Art Book,Comics,Comics,2017/07/08,2017-08-22,successful,485,USA,41130,10000
"The Slim Travel Wallet: Holds Dollars, Currencies, & Coins",Product Design,Design,2017/07/08,2017-08-21,successful,131,USA,5012,2000
5th Ave Film Society,Narrative Film,Film & Video,2017/07/08,2017-08-20,successful,89,USA,19563,18000
Budget For Videos And Mixtapes/Singles Promo,World Music,Music,2017/07/08,2017-08-17,failed,0,USA,0,10000
NVS Designs opens a Screen Printing Shop,Printing,Crafts,2017/07/08,2017-08-14,failed,0,USA,0,10000
Level Up Arena,Games,Games,2017/07/08,2017-08-12,failed,1,USA,10,215000
Baccarat Buffet Gaming Strategy Software,Playing Cards,Games,2017/07/08,2017-08-09,failed,0,USA,0,4000
The Numinous Tarot Deck & Guidebook,Illustration,Art,2017/07/08,2017-08-08,successful,443,USA,27798,12000
Some Photos Of That Day Book - Jamie Livingston's Polaroids,Photobooks,Photography,2017/07/08,2017-08-08,successful,273,USA,35907,35622
Fuel The Outdoors,Small Batch,Food,2017/07/08,2017-08-08,failed,1,USA,28,3000
Commission for Trombone and Piano,Classical Music,Music,2017/07/08,2017-08-07,successful,11,USA,500,500
Jake VanDerGinst Debut Album,Rock,Music,2017/07/08,2017-08-07,successful,18,USA,957,750
ZION #1,Graphic Novels,Comics,2017/07/08,2017-08-07,canceled,2,USA,29,3500
Chibi Mood: Express Yourself in a Fun Way,Product Design,Design,2017/07/08,2017-08-07,failed,0,USA,0,5500
Old Mother Road,Documentary,Film & Video,2017/07/08,2017-08-07,failed,2,USA,75,5000
E.R. : Employee Recognition App,Apps,Technology,2017/07/08,2017-08-07,failed,0,USA,0,50000
DIY Easy To Hang Handmade Reclaimed Barn Wood Wallboards,DIY,Crafts,2017/07/08,2017-08-07,failed,0,USA,0,10000
Remembering Father/Motherless Children (Alpha G),Fashion,Fashion,2017/07/08,2017-08-07,failed,1,USA,25,3000
Dawn and Dusk Enamel Pins,Art,Art,2017/07/08,2017-08-07,failed,6,USA,160,575
The Magnon Spinner,Product Design,Design,2017/07/08,2017-08-07,successful,228,USA,13714,6000
The Return of Jem Stone!,Theater,Theater,2017/07/08,2017-08-07,failed,12,USA,340,6000
A Brave Lament: A Short Film of Life and Death,Documentary,Film & Video,2017/07/08,2017-08-07,canceled,3,USA,45,10000
Usagi's Stuff Pin Collection,Accessories,Fashion,2017/07/08,2017-08-07,successful,65,USA,1983,550
"""Americana"" - First Album",Music,Music,2017/07/08,2017-08-07,failed,5,USA,370,20000
Torla: A Whimsical Adventure RPG,Video Games,Games,2017/07/08,2017-08-07,failed,392,USA,7345.11,36000
"Melody Youngblood. First Album: ""Sweet Isolation""",Music,Music,2017/07/08,2017-08-07,failed,39,USA,1947,8500
Elvatron Chronicles Volume 1,Graphic Novels,Comics,2017/07/08,2017-08-07,successful,48,USA,2332,550
Odyssey Artbook,Illustration,Art,2017/07/08,2017-08-07,successful,75,USA,3876,1000
The Adventures of Mya Papaya and Crash Who Eats Trash,Children's Books,Publishing,2017/07/08,2017-08-07,failed,10,USA,600,4300
10th annual Six Mile Creek Whitewater and Bluegrass Festival,Music,Music,2017/07/08,2017-08-07,successful,21,USA,1000,1000
Farie Dust,Crafts,Crafts,2017/07/08,2017-08-07,failed,0,USA,0,10000
Apocalypse Party,Games,Games,2017/07/08,2017-08-07,failed,5,USA,1136,30000
Scholars Quest,Games,Games,2017/07/08,2017-08-07,failed,4,USA,40,10000
Phoenicopterus Rex / Burning Man 2017,Sculpture,Art,2017/07/08,2017-08-07,successful,138,USA,10645,10000
Sven-Erik Olsen's New Album,Indie Rock,Music,2017/07/08,2017-08-07,successful,56,USA,2882,1500
Magic the Chefening,Webseries,Film & Video,2017/07/08,2017-08-07,successful,24,USA,650,650
NINJA GALAXY SEASON,Action,Film & Video,2017/07/08,2017-08-07,failed,0,USA,0,10000
The Golden Ranch,Architecture,Design,2017/07/08,2017-08-07,canceled,0,USA,0,20000
BLACK TERRAIN: A Nomad Series Performance Shorts,Apparel,Fashion,2017/07/08,2017-08-07,failed,68,USA,4623,14000
Salmon Fisher's Journal by Jay Nicholas,Art Books,Publishing,2017/07/08,2017-08-07,successful,149,USA,24027,18500
Northwest Life,Hip-Hop,Music,2017/07/08,2017-08-07,failed,0,USA,0,200
Fight or Flight: A Party Game for Animals,Games,Games,2017/07/08,2017-08-07,failed,39,USA,1413.5,5000
Endangered Alphabet Games,Games,Games,2017/07/08,2017-08-04,successful,106,USA,7849,7500
The METEORITE Pen 2.0,Product Design,Design,2017/07/08,2017-08-04,canceled,4,USA,1066,3500
Project Splinter,Fiction,Publishing,2017/07/08,2017-08-04,failed,4,USA,50,1650
Alone in Unity,Performances,Dance,2017/07/08,2017-08-03,failed,1,USA,53,2500
Elevate Farm to Bakery/Friendship Muffins and More,Food,Food,2017/07/08,2017-08-02,successful,38,USA,5327,5000
WEDNESDAY CIRCUS,Narrative Film,Film & Video,2017/07/08,2017-08-02,successful,51,USA,6012,4900
"""Sometimes, We Fall in Love"", a coming of age film.",Movie Theaters,Film & Video,2017/07/08,2017-08-01,failed,1,USA,30,20000
Jersey Fresh Jam 2017 Needs You!,Public Art,Art,2017/07/08,2017-07-30,successful,47,USA,3040,3000
Empowering the World with Vitalistic Health Information,Web,Technology,2017/07/08,2017-07-30,failed,4,USA,135,3500
Legend: Hell's Executioner Playing Cards,Playing Cards,Games,2017/07/08,2017-07-29,successful,23,USA,683,600
Savage A.F. T-Shirts,Apparel,Fashion,2017/07/08,2017-07-28,successful,82,USA,4535,1500
Support Jamie's Art!,Art,Art,2017/07/08,2017-07-28,failed,1,USA,100,2000
My 9 Lost! Dealing with Suicide and the Aftermath,Nonfiction,Publishing,2017/07/08,2017-07-28,failed,1,USA,40,25000
The Dregs of Crime!,Comics,Comics,2017/07/08,2017-07-23,successful,19,USA,413,250
Taco Padilla,Restaurants,Food,2017/07/07,2017-09-05,failed,1,USA,1,30000
The Pink Hat Project,Apparel,Fashion,2017/07/07,2017-09-05,failed,4,USA,81,1000
Papelyco: Transform your dinner plate into a lovely plant,Product Design,Design,2017/07/07,2017-09-05,failed,80,USA,5105,15000
Kup_Kovers,Apparel,Fashion,2017/07/07,2017-09-05,failed,1,USA,25,900
Westside Vs The World,Documentary,Film & Video,2017/07/07,2017-09-05,successful,1793,USA,137924,100000
FERAL,Shorts,Film & Video,2017/07/07,2017-09-05,canceled,8,USA,701,2250
"PodsLocker: Smart AirPods/EarPods Case,Phone Stand and Grip",Product Design,Design,2017/07/07,2017-09-05,successful,2156,USA,102075,5000
Lives - A 2 world puzzle game,Games,Games,2017/07/07,2017-09-05,canceled,2,USA,11,1300
BOYFRIEND: Teenage Love,Romance,Film & Video,2017/07/07,2017-09-05,failed,1,USA,11,500000
ramen for breakfast,Zines,Publishing,2017/07/07,2017-09-05,failed,2,USA,15,3500
Thesaurus,Web,Technology,2017/07/07,2017-09-04,failed,1,USA,11,10000
Unfailing: A Sacred Dance Performance,Performances,Dance,2017/07/07,2017-09-01,canceled,0,USA,0,8000
Sacred Geometry Cards + Intention Meditation,Playing Cards,Games,2017/07/07,2017-08-23,canceled,9,USA,226,8888
Re-Boom,Tabletop Games,Games,2017/07/07,2017-08-22,failed,1,USA,250,3000
Instants: a Book of Instant Film Nudies,Photobooks,Photography,2017/07/07,2017-08-21,successful,107,USA,3163,1000
Handmade Whole-Cut Men's Dress Shoes Under $250,Footwear,Fashion,2017/07/07,2017-08-21,failed,2,USA,498,5000
Help us to build BILD!,Apps,Technology,2017/07/07,2017-08-21,failed,0,USA,0,5000
Black Dog Bite - Angelspit's 2017 Album,Electronic Music,Music,2017/07/07,2017-08-21,successful,201,USA,9251.33,4000
Looking For Group,Tabletop Games,Games,2017/07/07,2017-08-21,failed,49,USA,2435,6000
Focus,Fashion,Fashion,2017/07/07,2017-08-21,failed,1,USA,10,5000
Nitro Fan,Technology,Technology,2017/07/07,2017-08-21,canceled,11,USA,449,45000
StockSaber - Invest Yourself,Software,Technology,2017/07/07,2017-08-16,failed,9,USA,951,10000
Polar Bear Ice Rolls,Small Batch,Food,2017/07/07,2017-08-16,failed,5,USA,100,6000
American Gothic Stop-Motion Animation (Claymation),Animation,Film & Video,2017/07/07,2017-08-12,failed,4,USA,91,1000
In Trouble: A Creative Sentence-Diagramming Workbook,Publishing,Publishing,2017/07/07,2017-08-12,failed,38,USA,3265,8000
Dream Hoodie 3.0 | The Superior Hoodie,Product Design,Design,2017/07/07,2017-08-11,successful,91,USA,14556,10000
Frothii™,Product Design,Design,2017/07/07,2017-08-11,canceled,5,USA,215,50000
Butterfly Keys - Butterfly Knife Style House Keys - EDC,Product Design,Design,2017/07/07,2017-08-11,successful,664,USA,20486,13500
Frame.Today - Bring The Beauty of Instagram Into Your Home,Art,Art,2017/07/07,2017-08-10,successful,41,USA,2825,2000
Murder at Blood Mansion,Tabletop Games,Games,2017/07/07,2017-08-09,successful,897,USA,34534,7717
AL: My Brother,Video,Journalism,2017/07/07,2017-08-08,failed,53,USA,3330,25000
Laura Glyda: Radio Ghosts,Pop,Music,2017/07/07,2017-08-08,successful,117,USA,9566,8500
A Sprung Floor for Thread City Classical Dance,Spaces,Dance,2017/07/07,2017-08-08,successful,62,USA,6295,6250
Let's finish Cloud Nine!,Pop,Music,2017/07/07,2017-08-07,canceled,0,USA,0,99
Race to the Temple of Vasudhara,Tabletop Games,Games,2017/07/07,2017-08-07,canceled,29,USA,1244,10000
Robottery 101 - The Giant Robot Building Card Game!,Tabletop Games,Games,2017/07/07,2017-08-07,successful,105,USA,5254,3000
MEN OF UTAH: BOUNTIFUL and MEN OF UTAH: SONS OF ADAM,Photobooks,Photography,2017/07/07,2017-08-07,failed,24,USA,2737,22500
Face - A Celebration of Self,Illustration,Art,2017/07/07,2017-08-07,successful,43,USA,1590,800
Pidgin Town Brewing | A Nano-Brewery in NOLA,Small Batch,Food,2017/07/07,2017-08-07,successful,76,USA,10430,10000
Riley and The Big Bear #1,Comic Books,Comics,2017/07/07,2017-08-07,successful,61,USA,2110,500
Princess - An art book by @findyoursmile,Art Books,Publishing,2017/07/07,2017-08-07,successful,452,USA,27039,2000
Night of the Garbage horror film,Horror,Film & Video,2017/07/07,2017-08-06,canceled,1,USA,100,10000
InstiShare Photo & Video Sharing App,Apps,Technology,2017/07/07,2017-08-06,failed,2,USA,6,6250
Christmas adventure of Blitzen's little sister,Children's Books,Publishing,2017/07/07,2017-08-06,canceled,4,USA,70,6500
Who The Eff Is That?! the podcast,Audio,Journalism,2017/07/07,2017-08-06,failed,2,USA,62,1250
Michael's Music Machine Debut Album,Kids,Music,2017/07/07,2017-08-06,successful,75,USA,4044.99,3500
Twisting Nether Lacquer,Fashion,Fashion,2017/07/07,2017-08-06,failed,2,USA,65,3000
A Soul's Torment,Fiction,Publishing,2017/07/07,2017-08-06,failed,1,USA,5,100
Handmade Pen Project for Veteran Suicide Awareness,Woodworking,Crafts,2017/07/07,2017-08-06,failed,15,USA,1358,5000
EIE-I/O,DIY Electronics,Technology,2017/07/07,2017-08-06,failed,4,USA,275,1000
Wexelblatt Art Books & Marketing,Painting,Art,2017/07/07,2017-08-06,failed,11,USA,1045,4700
GAME RIDER - Gamer's belt buckle,Accessories,Fashion,2017/07/07,2017-08-06,failed,13,USA,689,10000
Thank You For Supporting the Arts,Documentary,Film & Video,2017/07/07,2017-08-06,failed,18,USA,1374,30000
Mania Records Fundraiser for indie record label,Hip-Hop,Music,2017/07/07,2017-08-06,canceled,1,USA,100,100000
Episicava Vol. 1 - A Visual Novel Action/Adventure Epic,Video Games,Games,2017/07/07,2017-08-06,successful,185,USA,4230,2000
"Slope114 ""Grow Your Mind"" 12 inch Vinyl",Electronic Music,Music,2017/07/07,2017-08-06,successful,80,USA,3123,3000
From Moochers to House Elves - Tag your roommates. Roomiez.,Apparel,Fashion,2017/07/07,2017-08-06,failed,0,USA,0,6500
Chronic Pain Documentary,Documentary,Film & Video,2017/07/07,2017-08-06,failed,0,USA,0,5000
11th Orchard Bitters: Handcrafted Chicago Bitters,Food,Food,2017/07/07,2017-08-06,successful,63,USA,7430,7000
The Ultimate Picture and Wall-Hanging Template,Design,Design,2017/07/07,2017-08-06,failed,2,USA,54,5000
"Monsters: Where Are They Now?, A Comic Strip Collection",Comic Books,Comics,2017/07/07,2017-08-06,failed,36,USA,2183,5000
Finish Renovations on the Grand Ballroom,Spaces,Dance,2017/07/07,2017-08-06,failed,0,USA,0,9000
LeRosa Gold is a scented handmade fan company.,Product Design,Design,2017/07/07,2017-08-06,failed,0,USA,0,1000
Starting Capital for Pins By Dre II,Embroidery,Crafts,2017/07/07,2017-08-06,failed,5,USA,195,5000
Now Playing! A Party Card Game,Tabletop Games,Games,2017/07/07,2017-08-06,canceled,1,USA,2,80000
UINotebook - A Notebook for Engineers & Creatives,Product Design,Design,2017/07/07,2017-08-06,failed,70,USA,2554,10500
Luna Noel | Earth Mood Perfumes,Crafts,Crafts,2017/07/07,2017-08-06,canceled,53,USA,9666,75000
"Paper Gift Backpack Bag w/ Pen for Artists, Kids, & Events",Product Design,Design,2017/07/07,2017-08-06,failed,11,USA,598,10000
"TiffanyMichelle Speaks Show equipment, studio and air time.",Video,Journalism,2017/07/07,2017-08-06,failed,0,USA,0,50000
Resilient Hearts,Drama,Film & Video,2017/07/07,2017-08-06,canceled,4,USA,99,30000
Visions of Color Audiozine,Audio,Journalism,2017/07/07,2017-08-06,canceled,0,USA,0,1000
Hip hop Omega Forte Music Art Concept R&B Album,Hip-Hop,Music,2017/07/07,2017-08-06,failed,0,USA,0,500
"Quo- Time, places, timepieces.",Product Design,Design,2017/07/07,2017-08-06,failed,13,USA,2189,20000
"Ceramic mugs with a dark side flair, custom made, ceramic",Ceramics,Art,2017/07/07,2017-08-06,canceled,5,USA,307,5000
"Make it, crafts",Crafts,Crafts,2017/07/07,2017-08-06,failed,2,USA,155,8000
Writing Piano Sheet Music For Video Game Music,Music,Music,2017/07/07,2017-08-06,failed,1,USA,5,25
Psychologia Podcast: The Second Season,Audio,Journalism,2017/07/07,2017-08-06,successful,102,USA,5411,5000
LIAM: The coolest kid to meet children's literature!,Children's Books,Publishing,2017/07/07,2017-08-06,failed,3,USA,65,15000
Holly Godarkli - New Album,Indie Rock,Music,2017/07/07,2017-08-06,failed,3,USA,140,5000
RECKLESS ABANDONED buzz millennium productions,Science Fiction,Film & Video,2017/07/07,2017-08-06,failed,0,USA,0,5000
Wildflowers & Earth Art,Textiles,Art,2017/07/07,2017-08-06,failed,0,USA,0,1600
LITH3X Gaming Lounge,Gaming Hardware,Games,2017/07/07,2017-08-06,failed,3,USA,55,20000
Organic Self Sustainable Farm,Farms,Food,2017/07/07,2017-08-06,failed,6,USA,97.77,15000
Get REAL! News that removes bias and spin to reveal truth.,Web,Journalism,2017/07/07,2017-08-06,failed,1,USA,50,5500
Rush Historical Society - Funding to launch new organization,Art,Art,2017/07/07,2017-08-06,failed,2,USA,110,5000
The Z,Television,Film & Video,2017/07/07,2017-08-06,successful,10,USA,1000,1000
Blood & Water,Musical,Theater,2017/07/07,2017-08-06,successful,107,USA,11478,10000
"NANCE's Kickstarter - Album, Music Videos, Promo",Hip-Hop,Music,2017/07/07,2017-08-06,successful,102,USA,10724,7000
Kae's All Natural Hair Oil,Crafts,Crafts,2017/07/07,2017-08-06,failed,0,USA,0,1000
Zombie Mermaid Enamel Pins by ZOMs - Plush Zombies,Accessories,Fashion,2017/07/07,2017-08-06,successful,70,USA,1791,300
Inspired by my daughter- Cancer sucks!,Apps,Technology,2017/07/07,2017-08-06,failed,8,USA,387,35000
Westerly Sound - Our Debut Album,Music,Music,2017/07/07,2017-08-05,successful,75,USA,6136,5000
Phantom Flyers - Red Bull Flugtag Pittsburgh,Product Design,Design,2017/07/07,2017-08-05,successful,15,USA,825,500
Help Yinz Flock Take Flight!,Flight,Technology,2017/07/07,2017-08-05,failed,4,USA,205,2500
Eric Dorr- Debut Solo EP,Music,Music,2017/07/07,2017-08-04,successful,62,USA,3739,3600
Journey to Aktehi (CD/Cassette): Mark Seelig ~ Sam Rosenthal,Electronic Music,Music,2017/07/07,2017-08-02,successful,236,USA,8178.3,7000
Bower's Game Corner Presents: Gen Con Video Bonanza 2017,Tabletop Games,Games,2017/07/07,2017-08-02,successful,148,USA,6049,400
Litrpg and Animation school,Fiction,Publishing,2017/07/07,2017-08-01,failed,1,USA,50,10000
Pen Crafters,Woodworking,Crafts,2017/07/07,2017-07-31,successful,22,USA,3001,3000
The Calling of a Lifetime,Nonfiction,Publishing,2017/07/07,2017-07-28,successful,41,USA,2034,1800
The Amazing Flying Irish Woman Flugtag Nashville,Flight,Technology,2017/07/07,2017-07-28,failed,5,USA,250,2500
NapLife,Apparel,Fashion,2017/07/07,2017-07-27,failed,2,USA,59,1150
Loose Horses - Documentary Film,Documentary,Film & Video,2017/07/07,2017-07-27,failed,1,USA,100,15000
Casual Game Insider - Board Game Magazine (Year 6),Tabletop Games,Games,2017/07/07,2017-07-26,successful,572,USA,56166,10000
The Flex: An RFID Blocking Wallet Like No Other,Accessories,Fashion,2017/07/07,2017-07-25,failed,9,USA,202,780
RAD! A Story of Self-Love and Self-Defense,Plays,Theater,2017/07/07,2017-07-22,successful,23,USA,1005,1000
Hawk Totem Enamel Pin,Art,Art,2017/07/07,2017-07-21,failed,17,USA,355,570
Spliff: Interpreted Common Lisp & Java,Software,Technology,2017/07/07,2017-07-14,failed,2,USA,101,20000
Trendy Delicate Stone Pendants,Jewelry,Fashion,2017/07/07,2017-07-10,failed,2,USA,10,700
Thousand Movie Project & Horny Nuns,Art,Art,2017/07/06,2017-09-04,failed,3,USA,115,5000
neetseat,Product Design,Design,2017/07/06,2017-09-04,successful,145,USA,6028,5000
Charity App - GivMor,Apps,Technology,2017/07/06,2017-09-04,failed,5,USA,43,5000
The Hillbilly Way's New Album,Country & Folk,Music,2017/07/06,2017-09-04,canceled,17,USA,375,50000
Perfection Is Possible,Film & Video,Film & Video,2017/07/06,2017-09-04,failed,2,USA,33,2500
Help us Launch our News Service Website Eventsofourtimes.com,Audio,Journalism,2017/07/06,2017-09-04,failed,2,USA,34,100000
The Other Half Lives,Rock,Music,2017/07/06,2017-09-04,failed,3,USA,53,5000
KPI Soccer - Real-Time Key Performance Indicators for Soccer,Apps,Technology,2017/07/06,2017-09-04,failed,1,USA,11,50000
Kings of NYC : New york city fitness competition,Experimental,Film & Video,2017/07/06,2017-09-01,failed,0,USA,0,3500
The ULTIMATE BELT,Product Design,Design,2017/07/06,2017-08-21,successful,2283,USA,180326,14700
Chasing Earhart Phase I,Documentary,Film & Video,2017/07/06,2017-08-20,failed,1,USA,50,5000
A MotivationalCall App. To help motivate people,Apps,Technology,2017/07/06,2017-08-20,failed,0,USA,0,70000
Shift Pack: The Ultimate Rolltop Backpack,Product Design,Design,2017/07/06,2017-08-18,successful,217,USA,44580,20000
We're Still Here: An All-Trans Comics Anthology,Anthologies,Comics,2017/07/06,2017-08-18,successful,1885,USA,65203.5,17000
Classic watch designed for career people,Design,Design,2017/07/06,2017-08-15,canceled,25,USA,4995,50000
ZeusUniverse | Music and Leadership - New Single,Music,Music,2017/07/06,2017-08-15,canceled,7,USA,780,4000
LULLEEP - Smart Mask : Energize your day,Wearables,Technology,2017/07/06,2017-08-15,failed,14,USA,1452,10000
The Cereal Box: a cereal and milk bar with collectible toys,Restaurants,Food,2017/07/06,2017-08-15,failed,50,USA,2903,35000
"Bhumi B. Patel presents ""Black Holes""",Dance,Dance,2017/07/06,2017-08-13,successful,26,USA,1261,1200
Who Does That?,Playing Cards,Games,2017/07/06,2017-08-10,failed,4,USA,260,13500
One Line One World #1line1world #1face1race,Illustration,Art,2017/07/06,2017-08-10,failed,18,USA,395,2250
The Whitestone Bridge,Film & Video,Film & Video,2017/07/06,2017-08-10,failed,2,USA,10010,85000
Blaster Boards,Product Design,Design,2017/07/06,2017-08-09,successful,168,USA,26086.14,10000
UFOs and ET Contact: Publish New Book and Spread Worldwide,Nonfiction,Publishing,2017/07/06,2017-08-09,successful,119,USA,11340,8000
THE ENDLESS METAL DICE (RELAUNCH),Tabletop Games,Games,2017/07/06,2017-08-08,successful,1135,USA,30006,5000
"2018 Calendar, homemade soap photography and recipes.",Photography,Photography,2017/07/06,2017-08-08,failed,10,USA,325,2000
dog-agog® leash/collar combination,Product Design,Design,2017/07/06,2017-08-07,canceled,54,USA,4988,25000
"Hope Hymns, Volume III",Indie Rock,Music,2017/07/06,2017-08-07,successful,304,USA,22180,15500
Gemini GT: Modular Solo/Tandem Hybrid Kayak,Product Design,Design,2017/07/06,2017-08-07,failed,30,USA,16803,35000
The Ozark Trail: Images of Missouri's Longest Hiking Trail,Nature,Photography,2017/07/06,2017-08-06,successful,137,USA,14541,14000
House of Ashes,Publishing,Publishing,2017/07/06,2017-08-05,failed,0,USA,0,20
"Illustrations for My Loving World, Children's Picture Book",Publishing,Publishing,2017/07/06,2017-08-05,successful,12,USA,800,600
Gaslight Victorian Fantasy 3e for Savage Worlds,Tabletop Games,Games,2017/07/06,2017-08-05,successful,145,USA,2559,1000
"S.A.S.S. (Smorrebrod, Asian, Sashimi and Soup) Cookbook",Cookbooks,Food,2017/07/06,2017-08-05,failed,0,USA,0,3500
Sounds of The City Vol. 1,Hip-Hop,Music,2017/07/06,2017-08-05,failed,15,USA,570,1250
The Tomb of Nahtaivel - a Burning Man Honorarium Project,Sculpture,Art,2017/07/06,2017-08-05,successful,259,USA,20578,20000
Sync or Salvation,Comic Books,Comics,2017/07/06,2017-08-05,canceled,0,USA,0,750
Magnetic Inspiration for Fertility Support-Posters & Magnets,Graphic Design,Design,2017/07/06,2017-08-05,canceled,0,USA,0,2800
Thai Girl Trekking,Nonfiction,Publishing,2017/07/06,2017-08-05,failed,7,USA,2370,3000
Max the Demon vs Entropy of Doom,Graphic Novels,Comics,2017/07/06,2017-08-05,successful,565,USA,29114,25000
Trey & Bri youtube channel,Film & Video,Film & Video,2017/07/06,2017-08-05,failed,1,USA,20,1000
Use Your Lands! Public Lands Photography Exhibit,Photography,Photography,2017/07/06,2017-08-05,failed,2,USA,27,5000
Publishing website,Art Books,Publishing,2017/07/06,2017-08-05,failed,1,USA,5,25000
Virtual Book Tour: Jupiter's Amulet & the WONDERERS,Young Adult,Publishing,2017/07/06,2017-08-05,failed,0,USA,0,2000
Mini Monster Enamel Pins,Art,Art,2017/07/06,2017-08-05,successful,11,USA,850,600
Greatest YouTube channel yet to be made.,Video,Journalism,2017/07/06,2017-08-05,failed,1,USA,5,2300
Trash Pandas - the card game.,Tabletop Games,Games,2017/07/06,2017-08-05,suspended,683,USA,13612,200
Borgo. Inspiration and hope through the unity of music.,R&B,Music,2017/07/06,2017-08-05,successful,106,USA,17373.45,16500
The Best Film Ever Made...,Narrative Film,Film & Video,2017/07/06,2017-08-05,successful,13,USA,7500,7500
La Sorgente: Arias Inspired by Pope John Paul II,Classical Music,Music,2017/07/06,2017-08-05,canceled,12,USA,1586,60000
A Multi-Function LED Safety Product that Saves Lives!,Technology,Technology,2017/07/06,2017-08-05,canceled,8,USA,514,15000
Chronicles of Darkness: Dark Eras 2,Tabletop Games,Games,2017/07/06,2017-08-05,successful,1037,USA,60593,40000
